,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,title,artist
25,0.546,0.727,0.7272727272727273,0.6632007516442218,1,0.0529,0.00595,1.67e-06,0.0885,0.417,0.16367378806160837,1RvcrQtn7y3Jj7ZtDLQcY0,0.09305599080747934,0.5,Kansas City,The Mowgli's
26,0.446,0.91,0.6363636363636364,0.7219542749765111,0,0.0652,0.000254,9.76e-05,0.077,0.325,0.5029219012468357,1B241LRKmK6qDDTZfUajmm,0.16460357254779065,0.5,Cocoon,Catfish and the Bottlemen
27,0.475,0.776,0.0,0.7054181020983401,1,0.039,0.000715,0.0,0.597,0.561,0.7555618646540644,5UShsJdqJLZkl5JNj1ITlP,0.007293951739266669,0.5,DRUGS,lil aaron
28,0.498,0.502,0.18181818181818182,0.4982774819918573,1,0.0371,0.891,0.000907,0.0716,0.286,0.0937453174659506,7412fpVfB2PSSb1nENQczC,0.1362595320171315,0.5,Sheep,Mt. Joy
29,0.548,0.444,0.2727272727272727,0.4138427810836205,1,0.0384,0.866,0.0,0.134,0.62,0.7936451605271252,14e46mURUUwB3i2vTe1gFz,0.09833124412409902,0.5,Astrovan,Mt. Joy
30,0.434,0.677,0.9090909090909092,0.5306608205449421,1,0.119,0.384,0.0684,0.119,0.218,0.7779512779867667,0FfZudphGgQTGeEV6AhmOs,0.12193408544865766,0.5,Beige,Yoke Lore
31,0.681,0.891,0.5454545454545454,0.7345443156905731,1,0.0408,0.000672,1.07e-06,0.0631,0.556,0.2423167009723899,4Xx0J00u90QvnG3rwz4Itp,0.13997440718687973,0.5,Adderall,Max Frost
32,0.498,0.512,0.09090909090909091,0.4889445662386471,0,0.053,0.519,0.0,0.106,0.491,0.7700570184777723,29feCZI6ZRD8xtl4yaJQoK,0.14718479055677422,0.5,Willy's Song,Rayland Baxter
33,0.566,0.412,0.4545454545454546,0.5645474475414971,1,0.0267,0.681,0.017,0.0741,0.47,0.09934464239241025,0LO7f7ZJg871B8hLTRzrfB,0.10397210905672202,0.5,Julia,Mt. Joy
34,0.396,0.677,0.2727272727272727,0.5320388349514564,1,0.0354,0.0372,0.000137,0.112,0.249,0.5196725577873992,2kG5litgxXvx6ZRgwO1v7W,0.1685116995717121,0.5,Sedona,Houndmouth
35,0.57,0.256,0.36363636363636365,0.1968055120576262,1,0.0467,0.845,0.0759,0.156,0.0829,0.4880718606320139,11HXGSToW21uxNRl8kKBbu,0.23625561474981718,0.5,"So Long, Honey",Caamp
36,0.526,0.931,0.5454545454545454,0.6959599123081741,1,0.221,0.62,0.0,0.451,0.738,0.2689884149178635,5hDozqohP4JL3u6hVqi1gs,0.9999999999999998,0.5,Cypher,LOOPRAT
37,0.72,0.912,0.36363636363636365,0.6186658315064204,1,0.0363,0.551,0.00122,0.0982,0.973,0.4219209627684325,6M14BiCN00nOsba4JaYsHW,0.021048783035620994,0.5,Ocean Man,Ween
38,0.453,0.476,0.6363636363636364,0.23996241778891336,0,0.243,0.908,0.000244,0.0887,0.249,0.2100535484735926,55SKAyDnxmbMfMgOh6rJkg,0.17360022981301573,0.5,Love In The East,D-Real [愛]
39,0.767,0.504,0.4545454545454546,0.4296273097400565,1,0.0426,0.0597,0.00581,0.0805,0.282,0.22621272702896666,4S4QUpvgXPXLxT9oX15dmL,0.12166248824819806,0.5,Two Summers,One11Twenty
40,0.671,0.484,0.0,0.5394300031318511,0,0.0498,0.014,0.000549,0.376,0.236,0.45457843392402275,0aqWK1gHSuuqwdQRmTceQQ,0.15868327588007938,0.5,Another Miracle,Feed The Biirds
41,0.602,0.453,0.5454545454545454,0.3537738803632948,1,0.0426,0.257,0.000239,0.105,0.108,0.2024747438900325,5VFOPGuFh8fiIo1b6sCWiN,0.17669356523555832,0.5,White Dress,Ayo River
42,0.536,0.757,0.7272727272727273,0.5646727215784529,1,0.0513,0.556,0.807,0.0751,0.739,0.7949306393482704,4NWBKP6OrA8dhpx82f06Jz,0.11324166927817816,0.5,"If You Can't Vibe With the Peter Criss Jazz, You Must Be Dead",Via Luna
43,0.566,0.54,0.0,0.33623551518947714,1,0.0426,0.00825,0.0255,0.0674,0.609,0.7555145464152492,1RbdVGt8TF9ovqhTOUO6MG,0.13375509244750858,0.5,Troubled Mind,Cannibal Kids
44,0.825,0.304,0.4545454545454546,0.27622925148762933,1,0.101,0.14,0.000498,0.147,0.3,0.12338230771050718,6gGBL1uMBcNUOzSYfKreID,0.0393633134858456,0.5,Had Some Drinks,Two Feet
45,0.558,0.673,0.8181818181818182,0.5730660820544943,1,0.0523,0.00746,1.39e-05,0.169,0.826,0.786965402481053,0Eos5D7dZMxV5zcuFfzlqp,0.15198997179567533,0.5,Sly,The Cat Empire
46,0.649,0.791,1.0,0.4956467272157846,0,0.0266,0.0443,0.000716,0.11,0.758,0.35259185653110003,2VkBbGrlQEPIFhnPqyGSDJ,0.22777081374699673,0.5,I'm a Believer,Hot Dad
47,0.588,0.824,0.6363636363636364,0.5927967428750391,0,0.165,0.523,3.38e-05,0.0878,0.6,0.16427315241993357,5UmLGDX3NBDhF5bQE01be0,0.31278857202548827,0.5,Slow Mode,Windmills
48,0.686,0.961,0.18181818181818182,0.6564985906670844,0,0.0655,0.00259,2.18e-05,0.0816,0.644,0.2571746279603474,5iIcox52aapzmQSDEQDuMf,0.07610597513841008,0.5,S F D D,Stacked Like Pancakes
49,0.769,0.625,0.0,0.7105543376135297,1,0.0497,0.592,0.0,0.159,0.87,0.21851562684836878,6TnZ6oF9RqdrOK9w282vCB,0.09639350255928128,0.5,All My Friends Are Dead,Dirty Bourbon River Show
50,0.714,0.475,0.8181818181818182,0.40425931725649866,0,0.157,0.382,0.0154,0.104,0.337,0.16342142412126093,5neS8LDsLqFGQ5IYiDheBz,0.08343909955081999,0.5,I Could Do Better,Aviv
51,0.927,0.551,0.8181818181818182,0.5877231443783277,0,0.0921,0.42,0.0346,0.298,0.665,0.42397141978375574,61Ivix5DTnDPVjp1dgLyov,0.2220450746892301,0.5,Disco Yes,Tom Misch
52,0.715,0.725,0.8181818181818182,0.5369245223927341,1,0.0438,0.0093,0.025,0.159,0.962,0.6671161899354107,3JhOXYcRttGQmFHawh4N8a,0.13163715658623207,0.5,Supply and Demand,Mike Pinto
53,0.759,0.892,0.5454545454545454,0.7909176323207016,1,0.315,0.182,0.0,0.0501,0.936,0.08872169777840877,7wCWPx41MvREBKBWLK8OyO,0.1447991747623524,0.5,The Veil,Deca
54,0.432,0.664,0.8181818181818182,0.5465706232383339,0,0.0363,0.00296,0.758,0.117,0.277,1.0,0mnyjCNu9XUi5dv0JD3UqM,0.08044761307844978,0.5,Bubble Dream,Chon
55,0.772,0.767,0.18181818181818182,0.6274350140933291,0,0.123,0.106,0.196,0.365,0.571,0.44743337986293485,3mncYaBqIrygLhtjs9whvS,0.14003186044082314,0.5,Bitchcraft - Caravan Palace Remix,Drake Bell
56,0.492,0.921,0.09090909090909091,0.8153460695270905,1,0.0806,0.0106,0.00113,0.0676,0.545,0.427748992515832,1LYy1p4T3ietMj63gNa78X,0.45012012953097247,0.5,Mr. Invisible,Thank You Scientist
57,0.669,0.581,0.7272727272727273,0.3258377701221423,1,0.0443,0.231,0.357,0.176,0.632,0.187443316693086,0p4I9lDcIi65YzhKvC2QEc,0.17443069048365192,0.5,Beginning of the End,Invisible Inc.
58,0.692,0.642,0.18181818181818182,0.5617914187284685,1,0.154,0.0915,0.0,0.333,0.77,0.7152861570492347,07uKPxrVKN6d7n0UuPOcc4,0.11944139768097775,1.0,Fuccboi Anthem,Aunty Donna
59,0.267,0.824,0.8181818181818182,0.6591293454431569,0,0.0656,1.1e-05,6.25e-06,0.245,0.221,0.8099699529183525,1LwxKVSBicGOKRXeNY00kR,0.2998511438420558,0.5,Hunter,Ken Ashcorp
60,0.714,0.856,0.7272727272727273,0.6895709364234263,1,0.0608,0.0571,0.000118,0.164,0.742,0.09249927051048501,0hOgIGyEvAzfnk7mXfXEeM,0.1364553953828476,0.5,Hang,8 Graves
61,0.687,0.792,0.4545454545454546,0.8304415909802694,1,0.0452,0.191,0.0,0.167,0.671,0.24237190558434085,2dpaYNEQHiRxtZbfNsse99,0.13509740938054945,0.5,Happier,Marshmello
62,0.489,0.505,0.9090909090909092,0.5001565925461948,0,0.117,0.579,0.000333,0.104,0.337,0.7411061426960356,0y1QJc3SJVPKJ1OvFmFqe6,0.13433615376579963,0.5,Way down We Go,KALEO
63,0.752,0.276,0.4545454545454546,0.4450986533041028,1,0.0463,0.876,0.0,0.103,0.275,0.4483639718929663,6TpowNTagUJ7f8ctFFCVN8,0.14708033009505897,0.5,Cringe - Stripped,Matt Maeson
64,0.346,0.429,0.7272727272727273,0.23927341058565632,1,0.0832,0.262,0.000827,0.138,0.0885,0.7070054652565833,6YaC65M3ujeROidG3b09J0,0.19591559594693406,0.0,Surprise Yourself,Jack Garratt
65,0.781,0.619,0.6363636363636364,0.5882242405261511,1,0.0882,0.22,0.0,0.112,0.391,0.10782249351345807,2lxW8vQ9Qjv0qeSQiIBOKJ,0.1486994672516452,0.5,Queen (feat. Quinn XCII),ayokay
66,0.647,0.804,0.5454545454545454,0.4437206388975885,1,0.044,0.0301,3.36e-06,0.0628,0.799,0.47863975836152706,7hCWyoNCbLPLmWkzFhIJRt,0.1325107071973258,0.5,Fantasy,Eternity Forever
67,0.872,0.391,0.0,0.42987785781396814,0,0.242,0.469,4.13e-06,0.297,0.437,0.5105559104423466,7m9OqQk4RVRkw9JJdeAw96,0.010845607437584864,0.5,Jocelyn Flores,XXXTENTACION
68,0.324,0.864,0.8181818181818182,0.7100532414657063,1,0.112,0.00419,0.0,0.298,0.546,0.6440170030204809,6YP8f565RhpnXLbQW1uJvy,0.10198605452836099,0.5,Howl (Come On!),Crash Island
69,0.552,0.285,0.6363636363636364,0.4516129032258065,1,0.033,0.626,3.78e-05,0.163,0.0587,0.2644852958572883,1jtFWKDvrZXipBK0ekst8i,0.13954089627076147,0.5,Reverse,Maude Latour
70,0.206,0.782,0.8181818181818182,0.7076730347635454,0,0.0823,0.502,5.33e-06,0.212,0.222,0.8130456384413375,6LfPZkG790hdJ0dsvLdTIl,0.11182492426616522,0.5,...Baby One More Time,Brainard
71,0.554,0.414,0.36363636363636365,0.23294707171938622,1,0.0313,0.921,0.0149,0.108,0.229,0.5368490784772991,4z7N3LUchksm6yMrH2XHA4,0.16343100386503703,0.5,Familiär,Agnes Obel
72,0.577,0.758,0.2727272727272727,0.4911368618853743,1,0.0586,0.122,0.0,0.121,0.493,0.24200913242009137,5BJVxZaNRrqjHwYpGcH3Yq,0.09026428496813954,0.5,Devil Town,Cavetown
73,0.883,0.773,0.7272727272727273,0.7162543062950204,1,0.131,0.208,0.0,0.128,0.905,0.313672605105638,2VFypjBI3tBMOqauhTMRc9,0.09885354643267522,0.5,Old School,B.Reith
